Transaction ID,Payer Name,Entity Type (Payer),Receiver Name,Entity Type (Receiver),Transaction Details,Transaction Amount Threshold,Transaction Frequency,Jurisdiction Risk,Shell Company Detection,Beneficial Ownership Transparency,Sanctions & Watchlist Screening,Round-Number Transactions,Politically Exposed Persons (PEP) Involvement,Unusual Transaction Timing,Industry-Specific Risk Factors,Risk Score
TXN6037,Leonardo DiCaprio,Celebrity,Patagonia,Corporation,Environmental sustainability partnership,3,7,2,3,8,1,4,1,3,3,11
TXN6038,General Electric,Corporation,LM Wind Power,Corporation,Renewable energy subsidiary purchase,5,6,3,6,5,4,5,3,4,5,14
TXN6039,Mark Zuckerberg,Individual,CureVac,Private Company,Biotech research funding,9,8,7,8,2,7,9,7,8,9,33
TXN6040,Puma,Corporation,Neymar Jr.,Celebrity,Football boot endorsement deal,4,9,1,5,6,2,6,2,7,4,15
TXN6041,Boeing,Corporation,Embraer,Corporation,Joint venture for commercial jets,8,7,9,7,4,8,8,9,9,8,37
TXN6042,Adele,Celebrity,Sony Music,Corporation,Album distribution rights deal,2,6,3,2,9,1,3,1,2,2,10
TXN6043,Raytheon,Corporation,United Technologies,Corporation,Defense sector merger,10,9,8,9,3,9,10,8,10,10,43
TXN6044,Virgin Group,Corporation,Hyperloop One,Private Company,High-speed transit investment,7,8,5,6,5,5,7,5,6,7,20
TXN6045,Serena Williams,Celebrity,Wilson Sporting Goods,Corporation,Tennis equipment collaboration,5,4,2,4,7,3,5,2,4,5,12
TXN6046,Lockheed Martin,Corporation,Aerojet Rocketdyne,Corporation,Missile systems acquisition,9,8,10,8,2,9,9,10,9,10,42
TXN6047,IBM,Corporation,Red Hat,Private Company,Open-source software acquisition,6,7,4,5,6,4,7,4,5,6,17
TXN6048,Justin Bieber,Celebrity,Calvin Klein,Corporation,Underwear line endorsement,3,8,1,3,5,1,8,1,6,3,14
TXN6049,Toyota,Corporation,Panasonic,Corporation,Electric vehicle battery JV,7,5,3,6,8,2,6,3,5,4,16
TXN6050,Novartis,Corporation,The Medicines Company,Corporation,Cardiovascular drug acquisition,8,6,5,7,4,6,8,5,7,7,23
TXN6051,Post Malone,Celebrity,Bud Light,Corporation,Music festival sponsorship,4,9,2,4,3,2,9,2,8,5,21
TXN6052,Qualcomm,Corporation,Nuvia,Private Company,Chip design startup purchase,5,7,6,5,9,5,7,6,7,6,21
TXN6053,Gucci,Corporation,Balenciaga,Corporation,Luxury brand collaboration,6,8,4,7,2,4,8,4,6,8,22
TXN6054,Elton John,Celebrity,Rocket Entertainment,Private Company,Music catalog investment,5,5,3,2,7,3,5,3,4,4,12
TXN6055,FedEx,Corporation,TNT Express,Corporation,Logistics network merger,7,6,4,8,5,7,7,4,6,5,20
TXN6056,Oracle,Corporation,Cerner,Corporation,Health IT acquisition,6,5,3,5,6,4,6,3,5,4,14
TXN6057,Cardi B,Celebrity,Reebok,Corporation,Sneaker collection launch,3,7,1,3,4,1,7,1,5,3,10
TXN6058,BP,Corporation,Equinor,Corporation,Offshore wind farm partnership,8,7,7,9,3,8,8,7,8,9,33
TXN6059,Selena Gomez,Celebrity,Rare Beauty,Private Company,Cosmetics brand expansion,4,6,2,4,6,2,6,2,4,5,12
TXN6060,AT&T,Corporation,Time Warner,Corporation,Media conglomerate merger,9,9,8,7,5,9,9,8,9,8,39
TXN6061,Sheryl Sandberg,Individual,Lean In Foundation,Non-Profit,Leadership initiative funding,2,4,1,1,9,1,2,1,1,1,8
TXN6062,SpaceX,Private Company,Starlink,Corporation,Satellite internet division spin-off,10,10,9,10,4,9,10,9,10,10,45
TXN6063,Usain Bolt,Celebrity,Puma,Corporation,Retro sneaker line relaunch,5,7,3,5,6,3,7,3,5,6,15
TXN6064,GlaxoSmithKline,Corporation,Pfizer Consumer Health,Corporation,Pharma consumer division sale,7,6,5,6,7,5,7,5,6,7,19
TXN6065,Lady Gaga,Celebrity,Haus Laboratories,Private Company,Beauty brand acquisition,6,5,2,3,8,2,5,2,3,4,13
TXN6066,Deutsche Bank,Corporation,Postbank,Corporation,Retail banking unit divestment,5,4,6,5,8,6,5,6,5,7,19
TXN6067,Dua Lipa,Celebrity,Pepe Jeans,Corporation,Denim campaign partnership,3,8,1,2,5,1,8,1,7,3,14
TXN6068,TikTok,Private Company,Universal Music Group,Corporation,Music streaming rights deal,8,9,7,8,3,7,8,7,9,8,33
TXN6069,Volkswagen,Corporation,QuantumScape,Private Company,Solid-state battery investment,9,7,6,7,5,6,9,6,7,9,28
TXN6070,Ryan Reynolds,Celebrity,Aviation Gin,Corporation,Spirits brand exit sale,7,5,4,6,9,4,6,4,5,5,19
TXN6071,Maersk,Corporation,Logistics startups,Multiple Companies,Supply chain innovation fund,4,5,3,4,7,3,5,3,4,4,13
TXN6072,BTS,Celebrity,Hyundai,Corporation,EV concept car campaign,8,10,5,9,2,5,10,5,10,8,33
TXN6073,Roche,Corporation,Spark Therapeutics,Corporation,Gene therapy acquisition,6,7,4,5,8,4,7,4,6,6,19
TXN6074,Tom Brady,Celebrity,FTX Crypto,Corporation,Brand ambassador deal termination,9,3,8,9,1,8,9,8,3,9,31
TXN6075,Intel,Corporation,Mobileye,Corporation,Autonomous driving unit IPO,8,6,5,7,6,5,8,5,6,7,23
TXN6076,Jennifer Lopez,Celebrity,Versace,Corporation,Fashion line relaunch,5,7,3,4,6,3,7,3,5,6,14
TXN6077,Siemens Healthineers,Corporation,Varian Medical Systems,Corporation,Cancer treatment tech buyout,7,6,4,6,7,4,7,4,6,5,18
TXN6078,The Weeknd,Celebrity,Starbucks,Corporation,Holiday cup design collab,2,8,1,1,8,1,2,1,1,1,10
TXN6079,SoftBank,Corporation,ARM Holdings,Corporation,Semiconductor IPO preparation,10,9,9,10,3,9,10,9,9,10,44
TXN6080,Ariana Grande,Celebrity,Givenchy,Corporation,Perfume line endorsement,4,9,2,3,5,2,9,2,7,4,17
TXN6081,ExxonMobil,Corporation,Carbon Capture Tech Startups,Multiple Companies,Climate initiative funding,3,5,4,3,9,4,5,4,5,5,16
TXN6082,Ed Sheeran,Celebrity,Notting Hill Music,Private Company,Music rights acquisition,6,4,3,5,7,3,6,3,4,5,13
TXN6083,Tesla,Corporation,Lithium Mines,Multiple Companies,Raw material supply deals,9,8,7,8,2,7,9,7,8,9,33
TXN6084,Billie Eilish,Celebrity,Gucci,Corporation,Sustainable fashion campaign,3,7,2,2,8,2,3,2,2,3,10
TXN6085,Nestlé,Corporation,Blue Bottle Coffee,Private Company,Premium coffee chain buyout,5,6,4,5,7,4,6,4,5,6,16
